Party,PersonalPageRankEast,PersonalPageRankWest,Amount of Nodes,PersonalPageRankEast/Amount of Nodes,PersonalPageRankWest/Amount of Nodes,PersonalPageRankEast/PersonalPageRankWest,PersonalPageRankEast/PersonalPageRankWest/Amount of Nodes,Year
CDU,0.654934246311799,0.48308145209120107,41,0.015974006007604853,0.011782474441248806,1.3557428948610384,0.033066899874659474,2005
SPD,0.08589971828724509,0.11132201363531091,10,0.00858997182872451,0.011132201363531092,0.7716328108171951,0.07716328108171952,2005
CSU,0.05003737041961647,0.08629818722270606,9,0.00555970782440183,0.009588687469189562,0.5798194843941178,0.06442438715490198,2005
FDP,0.17101621585833635,0.22511875546824567,21,0.008143629326587446,0.010719940736583127,0.7596711144863236,0.03617481497553922,2005
GRÜNE,0.013775794498661956,0.02027756384272473,2,0.006887897249330978,0.010138781921362364,0.679361416662707,0.3396807083313535,2005
